No.,Question,Explanations,Answer
50,"Question: Which of the following statements accurately describe wearable sensors?(Select all that apply.)
a) EDA: Shows greater responsiveness to thermal stimuli compared to psychological stimuli.
b) PPG: When measured simultaneously with ECG at the same time, PPG demonstrates a faster peak arrival speed than ECG.
c) EEG: Commonly utilized in fundamental research concerning neurological and psychiatric disorders.
d) EOG: Measures the electrical potential difference at various positions on the eye.","The correct answer is c and d. 
For a, EDA is more responsive to psychological stimuli than the thermal stimuli which enables EDA a good technique to detect emotions. So it's wrong.
For b, because PPG meausure the heart action while EEG measures the blood vessel which means at the same time, a same change in blood will reflect quicker in EEG rather than in PPG cause it takes time for the heart to transmit the blood. So it's wrong.
For c, one of EEG's application in neurological and psychiatric disorders cause it collects data from head cells. So it's correct.
For d, the principle is measure the electrical potential difference, so it's correct.","C,D"
51,"Which situation is better suited for applying a distance-based outlier detection method?

A) When the data follows a single normal distribution. 
B) When the data can be described using K normal distributions (mixture models). 
C) When the data exhibits a uniform distribution. 
D) When the data contains missing values.","Distance-based outlier detection methods, such as the k-nearest neighbors (k-NN) approach or the Mahalanobis distance, are particularly useful when dealing with data that can be modeled as a mixture of multiple normal distributions (i.e., mixture models). In such cases, outliers may deviate significantly from the expected patterns represented by the mixture components. These methods calculate the distance of each data point from the distribution centers and can effectively identify outliers within the mixture.",B
52,"Suppose we have a dataset with N data points. We apply a simple distance-based outlier detection method using parameters $f_{min}$ and $d_{min}$. If a fraction of $f_{min}$ of the points are found to be outside the distance threshold $d_{min}$, what can we infer about the remaining points?

A) At least $(1−f_{min})\times N $points are close to each other.
B) All points are outliers.
C) The dataset contains no outliers.
D) The number of close points cannot be determined.","The condition states that if a fraction of $f_{min}$ of the points are outside the distance threshold, then at least $(1−f_{min}) \times N$ points must be close (i.e., within the distance threshold).",A
53,"How does the Kalman filter effectively handle noise and missing values in sensory data?

A) By applying a high-pass filter to remove noise and interpolate missing values based on the median value of adjacent data points.
B) By predicting the current state based on previous states and measurements, while minimizing the error covariance to handle noise and estimate missing values.
C) By compressing the data to reduce noise and using pattern recognition to fill in missing values.
D) By transforming sensory data into a frequency domain and filtering out frequencies that correspond to noise and missing data.","The Kalman filter predicts the current state of the system using a mathematical model of the system's dynamics. This model accounts for the previous state and any control inputs that might affect the current state.
The filter estimates the uncertainty of its predictions and measurements (error covariance) and uses this estimation to weight its predictions and measurements. This process helps in effectively reducing the impact of noise in the data.",B
54,"Which of the following is most commonly used to measure heart rate variability through sensor data collection?

A) EDA (Electrodermal Activity)
B) ECG (Electrocardiogram)
C) PPG (Photoplethysmogram)
D) EEG (Electroencephalogram)
E) EOG (Electrooculogram)","ECG is widely recognized for its ability to measure the electrical activity of the heart, making it especially useful for assessing heart rate variability (HRV), among other cardiac functions. PPG is also used to measure heart rate by detecting blood volume changes in the microvascular bed of tissue, but ECG is more directly associated with heart rate variability due to its detailed capture of the electrical signals that trigger heartbeats.",B
55,"Which statement is correct about ground truth labeling?(choose 1)
a. The Experience Sampling Method is typically conducted in a natural setting
b. Elicitation means the observer will follow up and label the object in real-time.
c. In a natural setting, collector ask users to follow predetermined scenarios to collect data.
d. The ""Observation"" refers to requesting individuals to label their current state.","""Elicitation"" involves collectors asking users to adhere to predefined scenarios in order to gather data. ""Natural setting"" entails prompting individuals to label their current activity. ""Observation"" refers to directly observing and recording the characteristics or situations of a subject. The Experience Sampling Method (ESM) involves sending messages to users prompting them to input their current state (label), and it is typically conducted in a natural setting. Therefore, option (a) is correct.",a
56,"Which statement is incorrect about outlier? (choose 2)
a. Average is more robust than median in terms of the fact that outliers would pull a median toward outliers.
b. An outlier refers to data that is significantly distant from other data points
c. A lower reliability of a sensor could cause outliers.
d. It's always best to get rid of outliers.","The median is more robust than the mean in the presence of outliers. Outliers can significantly affect the mean, pulling it towards their extreme values. However, the median is less influenced by outliers since it depends only on the middle value of the dataset. Therefore, (a) is incorrect.

An outlier is a data point that significantly differs from other data points in a dataset. Low reliability of a sensor means that precise measurements cannot be guaranteed, thereby diminishing confidence in the measurement results. Therefore, (b) and (c) are correct statements.

It's not always best to remove outliers. While outliers can distort the distribution of data, they can also provide valuable insights or indicate important anomalies in the data. Removing outliers without proper justification or understanding of their origins can lead to biased or inaccurate analyses. Therefore, (d) is incorrect.
","a,d"
57,"Consider the data set consisting of:
{88, 23, 131, 36, 1001, 294, 391, 1, -2, 94, -99, 2, 82, 42, -11, 43} (N = 16, mean = 106)
The data below the 5th percentile lies between -99 and 9.75, while the data above the 95th percentile lies between 148.6 and 1001.
Which of the following is the correct result after 90% winsorization?

a) {88, 23, 131, 36, 9.75, 9.75, 9.75, 148.6, 148.6, 94, 148.6, 148.6, 82, 42, 148.6, 43}
b) {88, 23, 131, 36, 148.6, 294, 391, 1, -2, 94, 9.75, 2, 82, 42, -11, 43}
c) {88, 23, 131, 36, 148.6, 148.6, 148.6, 9.75, 9.75, 94, 9.75, 9.75, 82, 42, 9.75, 43}
d) {88, 23, 131, 36, 0, 294, 391, 1, -2, 94, 0, 2, 82, 42, -11, 43}"," Winsorization is a method used to mitigate the impact of outliers by substituting extreme values with values closer to the rest of the data. Specifically, in a 90% winsorization, the lowest 5% of the data are replaced with the value at the 5th percentile, and the highest 5% of the data are replaced with the value at the 95th percentile.
 Given that the data below the 5th percentile lies between -99 and 9.75, and the data above the 95th percentile lies between 148.6 and 1001, the correct result after 90% winsorization should replace the lowest 5% of the data with 9.75 and the highest 5% with 148.6.
 Option 3 accurately reflects this process by substituting the appropriate values with 9.75 and 148.6, resulting in a winsorized dataset. Hence, option c) is the correct answer.",c
58,"Which of the following best describes the Experience Sampling Method (ESM)?

A. ESM typically gives questionnaires to participants in controlled laboratory environments.
B. A method used in qualitative research for participant observation
C. A research approach involving random sampling of experiences in real-time
D. ESM primarily relies on retrospective self-reports to gather data about individuals' experiences and behaviors.","Option A is incorrect because is ESM a research procedure for studying what people do, feel, and think during their daily lives.

Option B is incorrect because participants need to report on their current experiences by themselves.

Option C is correct because participants being prompted at random intervals to report on their current experiences

Option D is incorrect because ESM involves collecting data in real-time, rather than relying on retrospective self-reports.

The Experience Sampling Method (ESM): participants being prompted at random intervals to report on their current experiences involves collecting data on participants' experiences, behaviors, or thoughts in real-time as they occur in their natural environment. This method typically involves participants being prompted at random intervals to report on their current experiences, providing researchers with insights into everyday life experiences and behaviors. ESM allows researchers to capture momentary experiences and reduce recall bias that may occur with traditional retrospective self-report measures.
",C
59,"Which of the two following are the most likely applications of the data gathered from EDA (Electrodermal Activity) and PPG (Photoplethysmogram) sensors in wearable devices?

A) Personalizing hydration reminders.
B) Detecting nightmares. 
C) Tracking the user’s surrounding pressure levels.
D) Measuring the speed of the user’s movement.","Correct answers: A) and B)
Option A: EDA sensors can detect changes in sweat gland activity. An increase in sweating may indicate dehydration, which could be used as an indicator for an application to suggest hydration to the user. 
Option B: EDA readings reflect changes in sweat gland activity, which can be correlated with stress during nightmares. With PPG, one of the metrics that can be observed is BPM, which is usually tied to emotional stress.


Explanations for the incorrect options:
Option C: This is typically measured with barometers.
Option D: These kinds of measurements typically rely on motion sensors such as accelerometers and gyroscopes.
","A, B"
60,"Which of the following scenarios involving sensor readings from wearable devices is most likely to produce actual outliers that require removal or further processing?

A) Spikes in EDA (measures skin conductivity) readings when a user is doing an intense physical exercise.
B) Low ECG (measures heart rate) readings while a user is asleep.
C) Sudden drop in PPG (measures heart rate) readings when the wearable device briefly loses contact with the user's skin.
D) Consistently high SpO2 (measures oxygen level) readings of a user","Correct answer: C)
Since the sudden drop in the measurement value is caused by mechanical failure or interference while gathering the data, this can be considered as an outlier that does not reflect the wearer's physiological state and should be removed. 

Explanation for the incorrect options
Option A: Spikes in EDA readings can occur during intense physical activity due to increased sweat production, which is a normal physiological response and not necessarily an outlier. 
Option B: Lower ECG readings during sleep are expected due to the decreased heart rate as the body enters a state of rest, which can't be categorized as outliers
Option D: This can be categorized as a systematic error, which can be addressed by recalibrating the device or adjusting the values based on domain knowledge
",C
61,"Which sensor technology is used to measure electrodermal activity (EDA)?

A) Gyroscope
B) Photo-plethysmo-gram (PPG)
C) Galvanic skin response (GSR)
D) Accelerometer","Electrodermal activity (EDA), also known as galvanic skin response (GSR), is a measure of the skin's conductivity, which changes in response to sweat gland activity. This activity is primarily controlled by the sympathetic nervous system, making EDA a useful indicator of emotional arousal. When a person experiences emotional arousal, the sympathetic branch of the autonomic nervous system becomes more active, leading to increased sweat gland activity and, consequently, higher skin conductance. This physiological basis allows EDA measurements to serve as indicators of psychological or emotional states.",C
62,"According to the document, which method is described as a way to handle outliers by substituting extreme values with less extreme ones, thereby reducing the influence of potentially spurious outliers?

A) Kalman Filtering
B) Chauvenet's Criterion
C) Winsorizing
D) Local Outlier Factor","A) Kalman Filtering: Kalman Filtering is a recursive algorithm used for estimating the state of linear dynamic systems from a series of incomplete and noisy measurements. It's not specifically designed for handling outliers in a statistical dataset.
B) Chauvenet's Criterion: Chauvenet's Criterion is a rule for identifying and removing outliers from a dataset. It determines whether a data point should be considered an outlier based on the probability of its deviation from the mean, which is not the method described in the question.
C) Winsorizing is a statistical transformation method used to reduce the effect of possibly spurious outliers by substituting extreme data points with less extreme ones. This could involve replacing values below the 5th percentile and above the 95th percentile with values closer to the median, thus mitigating the impact of outliers on the dataset.
D) Local Outlier Factor (LOF): LOF is an algorithm for identifying density-based local outliers, particularly in datasets with clusters. It measures the local deviation of a data point with respect to its neighbors, aiming to identify regions of similar density. ",C
63,"What would be the result of applying a 80% Winsorization to the following dataset: {10, 15, 20, 25, 30, 35, 40, 45, 50, 100}?

A) {10, 15, 20, 25, 30, 35, 40, 45, 50, 50}
B) {15, 15, 20, 25, 30, 35, 40, 45, 50, 50}
C) {20, 20, 20, 25, 30, 35, 40, 45, 50, 50}
D) {20, 20, 25, 25, 30, 35, 40, 45, 50, 50}"," An 80% Winsorization involves replacing the lowest 10%
 and the highest 10% of values with the 10th and 90th percentiles
 respectively. In this dataset, 10% of 10 is 1, and 10% of 100 is 10. 
So, we replace the lowest value with the 10th percentile (20) and 
the highest value with the 90th percentile (50), 
resulting in {20, 15, 20, 25, 30, 35, 40, 45, 50, 50}.",C
64,"Which ground truth labeling method would be most appropriate for accurately tracking the sleeping patterns of individuals using wearable devices?

A) Elicitation through predetermined scenarios
B) Natural observation through real-time sensors
C) Emotion observation through facial recognition
D) Experience sampling through random user prompts","Natural observation through real-time sensors would be the most suitable method for tracking sleeping patterns using wearable devices. This method involves directly monitoring physiological signals such as heart rate, movement, and sleep stages using sensors embedded in the wearable device. It allows for continuous and accurate tracking of sleeping patterns without relying on user input or predetermined scenarios.",B
65,"Electrodermal Activity (EDA) is primarily used to measure:
A) Heart rate variability
B) Muscle tension
C) Skin conductivity changes due to sweat gland activity
D) Brain wave patterns","Correct answer: C. 
Electrodermal Activity (EDA) is a physiological response that measures the electrical conductance of the skin, which varies with the activity of the sweat glands.
Heart rate variability is often measured using electrocardiography (ECG). Electromyography (EMG) sensors are used to measure muscle tension or activity. Brain wave patterns can be monitored using Electroencephalography (EEG).",C
66,"How does the presence of outliers in a dataset affect the mean?
A) It has no effect on the mean, making it a reliable measure in all cases.
B) It causes the mean to shift towards the outliers, potentially misrepresenting the data’s central tendency.
C) It makes the mean calculation computationally easier.
D) It reduces the mean's value, making lower values more prevalent.","Correct answer: B. The mean is calculated by summing all the values in a dataset and then dividing by the number of values. This calculation method means that every value, no matter how large or small, influences the result. When there are outliers they can significantly skew the mean. This skew can lead the mean to misrepresent the central tendency of the data, giving a distorted view of what's typical or common within the dataset.
A is incorrect because outliers can significantly shift the mean away from the central mass of the data, making it a less reliable measure of central tendency in distributions with outliers.
C is incorrect because the process for calculating the mean (adding all the values together and then dividing by the number of values) remains the same regardless of whether outliers are present or not.
D is incorrect because outliers can either increase or decrease the mean, depending on whether the outliers are significantly higher or lower than the rest of the data.",B
67,"Suppose you need to design an experiment to understand how users interact with a new software application under specific conditions. You plan to have users perform predetermined tasks with the software within a controlled environment to obtain their particular behaviours or responses.

Which of the following activity is best to represent above case study? 
A) Observation
B) Natural
C) Elicitation
D) Emotion","In the described case study, what you want is to setup a controlled environment with predefined scenarios for the users to perform tasks using new software. This method is known as elicitation because it actively creates situations designed to draw out specific responses or interactions from the participants. Unlike naturalistic observation, where the researcher would observe and record behaviours without intervention, or natural labelling, where users report on their activities as they change, elicitation deliberately induces a certain environment or set of circumstances to gather data on how users behave under those particular conditions. Therefore the answer is C",C
68,"Arnold is participating in a study analyzing his movements during outdoor activities using a GPS device and a step counter. However, the data collected contains some irregularities and missing values. The research team decides to use a method that can detect outliers and simultaneously impute missing data points, taking advantage of their understanding of Arnold's typical movement patterns and the reliability of the devices used. Given the scenario and the tools at hand, which method would be the most suitable for processing Arnold's movement data? 
A) Mean/Median/Mode imputation, because it is a straightforward technique that can replace missing data with the most frequently observed values. 
B) Kalman filter, because it not only detects outliers in Arnold's presence at a position and velocity but also imputes missing values using the GPS data and step counter measurements. 
C) Interpolation-based imputation, because it can fill in missing values based on the data points immediately before and after the gaps. 
D) Winsorizing, because it can adjust the extreme outliers to a specified percentile, thus limiting their impact on the analysis.","The correct answer is B. The Kalman filter is an advanced algorithm that excels in situations where there is a need to estimate the state of a dynamic system over time. In Arnold's case, the dynamic system is his movement through space as tracked by GPS and a step counter. The Kalman filter provides a more precise and tailored approach to cleaning and imputing the data in this context, as opposed to more general methods like mean/median/mode imputation or interpolation, which do not utilize the additional information available about the system's behavior over time. Winsorizing is not as suitable since it primarily addresses extreme values rather than missing data points and does not take advantage of the dynamic model of Arnold's movements.






",B
69,"In the lecture, the 3MAD (Median Absolute Deviation) and 3sigma (standard deviation) methods for outlier detection were introduced. It is known that 3MAD is generally more robust than 3sigma. Which of the following statements is correct?

A) 3sigma is appropriate even if the dataset does not follow a normal distribution.
B) 3sigma uses the mean to calculate the standard deviation, making it more susceptible to outliers.
C) 3MAD is less robust than 3sigma because MAD is more sensitive to outliers in the data.
D) 3sigma is more robust to outliers because it squares the differences from the mean, reducing the impact of large deviations compared to MAD.





","B is true ""3sigma uses the mean to calculate the standard deviation, making it more susceptible to outliers."" - This statement is true. Since the mean is sensitive to outliers, and standard deviation is derived from the mean, the 3sigma method is also sensitive to outliers. This sensitivity makes it less robust compared to 3*MAD, which uses the median.


A is not correct  3sigma assumes the data follows a normal distribution. If the data is not normally distributed, using 3sigma for outlier detection may not be appropriate or effective. 

C is incorrect because it's the opposite of the established fact that MAD is less influenced by outliers compared to the mean. MAD uses the median, which is more robust to outliers than the mean, making 3MAD more robust for outlier detection than 3sigma.

D is misleading. While squaring the differences does penalize larger deviations more, it actually makes the sigma method more sensitive to outliers, not less. Outliers, which have large deviations from the mean, will have an even larger impact after being squared, making 3sigma less robust to outliers compared to 3*MAD.",B
70,"Which of the following is the cheapest option to get heart rate variability?
A) EOG (Electrooculogram)
B) ECG (Electrocardiogram)
C) EDA (Electrodermal Activity)
D) PPG (Photoplethysmogram)
E) EEG (Electroencephalogram)
","Correct answer is PPG. Photoplethysmography (PPG) is a simple 
and low-cost optical technique that can be used to detect blood volume
 changes in the microvascular bed of tissue. It is widely used to 
measure heart rate and heart rate variability (HRV) by 
detecting the pulse wave that travels through the blood vessels 
each time the heart beats. PPG sensors are commonly found in 
many consumer-grade wearable devices, such as fitness trackers 
and smartwatches, because of their cost-effectiveness and 
ease of integration.",D
71,"Alex is participating in an experiment regarding the motion recognition using biosensors in smart watches. He was told to download an app in his smart watch and the app routinely notifies him to select his current activity among sitting still, running and etc. During a day, the app randomly notifies him 6 times except at night. After notification he has to select his current activity within 3 minutes. Alex was told that this experiment will end next Friday and hence he has to wear the smart watch for 5 days.

In above experience sampling method, what is the parameter the practitioners should additionally consider?

A) notification schedule
B) notification expiry
C) inter-notification time
D) study duration 
","From the above scenario, we can find 

notification schedule: random 6 times a day
notification expiry: 3 minutes
study duration: 5 days

However, the practitioner didn’t consider inter-notification time, i.e. time gap between random notifications. Hence, the answer is C

A) Notification schedule: This refers to the timing and frequency of notifications sent to participants. The description mentions that notifications are sent randomly six times a day, except at night, which indicates that the schedule is already a consideration
B) Notification expiry: This is the window of time within which participants must respond to a notification, set at 3 minutes in the study.
C) Inter-notification time: This refers to the time between consecutive notifications. Although notifications are said to be random, ensuring a minimum or maximum time between them (to avoid clustering or long gaps) is crucial for balancing data collection throughout the day and reducing participant burden.
D) Study duration: The overall length of the study is mentioned as 5 days, ending next Friday. 
However, the practitioner didn’t consider inter-notification time, i.e. time gap between random notifications. Hence, the answer is C
",C
72,"Among the outlier detection options below, which one of it does not require distributional (normality) assumption?

A) 3 sigma rule
B) Inter Quantile Range (IQR) method
C) Local Outlier Factor 
D) Chauvenet’s criterion
","A) 3 sigma rule is from the fact that if X follows normal distribution with mean mu and sigma, X will fall into 3 sigma interval, mu - 3*sigma <X< mu + 3*sigma, with very high probability. (about 99.73%)

B) IQR method is from the fact that if X follows normal distribution, 1.5*IQR is approximately 3*sigma.

C) LOF identifies local density using distance between observations. Hence, it does not require normality assumption.

D) Similarly to 3 sigma rule, Chauvenet’s criterion detect outliers by assuming normality of data and identifying the probabilty band that will possibly contain all N observations.
",C
73,"Which of the following statements best explains why 3*MAD is considered more robust than 3*σ?

A) MAD is calculated based on the mean, which is less sensitive to outliers than the median used in σ calculation.

B) MAD is more resistant to deviations from normality and works well with non-normal distributions, unlike σ, which assumes a normal distribution.

C) MAD provides consistent estimates of dispersion even in the presence of outliers, while σ tends to overestimate the spread of the data in the presence of extreme values.

D) MAD focuses on the median, which is less influenced by extreme values, resulting in a more robust estimate of dispersion compared to σ, which can be inflated by outliers.","A) MAD (Median Absolute Deviation) is calculated based on the median, not the mean. MAD measures the dispersion of a dataset by calculating the median of the absolute deviations from the median.

B) This statement is partially correct. MAD is indeed more robust against deviations from normality and can work well with non-normal distributions. However, standard deviation (σ) does not necessarily assume a normal distribution; it is commonly used with various distribution types.

C) While MAD does provide consistent estimates of dispersion even in the presence of outliers, this statement oversimplifies the comparison with σ. Standard deviation (σ) can also be robust to outliers under certain conditions, especially if the data follows a normal distribution or if robust methods like Winsorized standard deviation are used.

D) MAD focuses on the median, which is less influenced by extreme values, resulting in a more robust estimate of dispersion compared to σ, which can be inflated by outliers.",D
74,"Which of the following statements accurately describes the difference between PPG and ECG for heart rate monitoring?

A) ECG directly measures heart activity by detecting electrical signals produced by the heart muscle.

B) PPG relies on optical measurements, capturing blood flow changes via a small LED light.

C) ECG is more reliable than PPG in measuring heart rate.

D) PPG sensors are ideal for average or moving average measurements.

E) Both A and B are correct.","A) ECG (Electrocardiogram) directly measures heart activity by detecting electrical signals produced by the heart muscle. It provides precise information about the heart's electrical conduction system and is commonly used in medical settings.

B) PPG (Photoplethysmography) relies on optical measurements, capturing blood flow changes via a small LED light. PPG sensors typically measure changes in light absorption caused by blood volume changes, providing an indirect measurement of heart rate and blood flow.

C) While ECG is often considered the standard for measuring heart rate due to its accuracy and direct measurement of cardiac electrical activity, PPG can also be reliable when used properly, especially in consumer-grade devices.

D) PPG sensors can provide real-time heart rate measurements, and while they can calculate moving averages, they are not limited to this type of measurement.

E) As A) and B) are correct, this option is also correct.","A, B, E"
75,What does the Kalman filter technique primarily address?A) Only outlier detectionB) Only missing value imputationC) Both outlier detection and missing value imputationD) Neither outlier detection nor missing value imputation,"The Kalman filter is a sophisticated method that is used for both detecting outliers and imputing missing values, leveraging prior knowledge about the data's process and measurement models.
",C
76,"Which of the following is NOT a method for detecting outliers?

A) Using Chauvenet’s criterion
B) Using Gaussian Mixture Models
C) Using the Least Squares Method
D) Using the Local Outlier Factor","The Least Squares Method is primarily used for modeling relationships in regression analysis, not for detecting outliers. Chauvenet's criterion, Gaussian Mixture Models, and the Local Outlier Factor are techniques that can be used for outlier detection.",C
77,"You are working on a project involving correct exercise form for weighted exercises (deadlift, bicep curl, etc.) and are tasked to collect data (sensor and video).
You are told that not all of the participants know/use the right form during exercise. Which is the best ground truth labelling method for labelling the collected data then?

A: Elicitation (using only participants that know and can execute the proper form)
B: Elicitation (using all participants)
C: Natural
D: Observation","In order to collect sufficient data, you need both positive and negative samples (people with good and bad form); thus A is not valid. Since human movement can vary based on a variety of factors, someone with good form might execute a movement incorrectly because they don't feel well, thus making option B invalid. Using similar logic option C is also invalid; participants might think they have the correct form without knowing that they are doing an exercise incorrectly. Option D is correct since you can see if someone performed a movement correctly, making it the most reliable.",D
78,"Assume you are processing some temperature data and discover that there are a couple of missing values. Which imputation strategy would work the best? Assume that the temperature data is sinusoidal.

A: Mean
B: Median
C: Mode
D: Interpolation","When given sinusoidal data, the mean and median imputation will produce a straight line across the middle of the sinusoidal data; although this solves the issue of missing data it doesn't do it very well. A similar problem occurs with mode imputation,except this time the straight line can occur at any point. Interpolation is the best option since it will preserve the sinusoidal shape.",D
79,"Which of the following statements is incorrect? (Select two)

1. Pseudo sensors of smartphones can be used for activity recognition.
2. Showing sad videos to obtain ground truth labeling should be avoided as it may affect users' emotions.
3. Users can be instructed to engage in activities such as running or walking to gather ground truth labels for activity.
4. According to the Experience Sampling Method, individuals can be asked about their current emotional state to collect emotion ground truth labels.
5. Self-labeling is always more accurate than labeling from observation.","Pseudo sensors of smartphones can indicate the type of activity based on software.
For ground truth labeling, a method of showing a video of a specific emotion and then asking the user to rate the current emotion can be used. Therefore, showing sad videos to obtain ground truth labeling is not avoided.
Users may be required to follow predetermined scenarios for ground truth labeling of activities.
According to the Experience Sampling Method, users can be asked to randomly label a current emotion state.
It cannot be said which is always more accurate: self-labeling or labeling from observation.
Therefore, 2 and 5 are incorrect.","2, 5"
80,"Consider the data set consisting of: {-63, -2, 14, 18, 25, 56, 75, 87, 92, 1028} (N=10)

The following are the ranges of inliers after applying outlier detection to the data:
- 3σ rule: [-771.9, 1037.9]
- 3MAD rule: [-130.7, 221.7]

With the 3σ rule, the number of inliers is (a)___. With the 3MAD rule, the number of inliers is (b)___. Based on this, 3*(c)___ is more robust than 3*(d)___.

Which of the following is correct for (a), (b), (c), and (d)?

1. 10, 10, MAD, σ
2. 10, 9, MAD, σ
3. 10, 9, σ, MAD
4. 9, 9, σ, MAD","To solve this problem, we need to know about distribution-based outlier detection. After applying the 3σ rule, the number of inliers is 10 because all values in the data lie within the range of inliers. On the other hand, after applying the 3MAD(Median Absolute Deviation) rule, '1028' is outside the range of inliers, so the number of inliers is 9. Based on this, 3MAD is more robust than 3σ.",2
81,"In the context of ground truth labeling for sensor data collection, what does the ""Natural"" method of labeling refer to?

a) Predefining activities for users to perform and label accordingly.
b) Asking Users to label their current activity when there is a change of activity or asking users to label their current emotion randomly.
c) Observers recording and labeling a user's activity or emotion from a distance.
d) Implementing automated algorithms to label sensor data outputs.","a) Incorrect. This describes the ""Elicitation"" method where users follow predetermined scenarios, not the ""Natural"" method which involves in-situ labeling by the users themselves.
b) Correct. The ""Natural"" method involves in-situ labeling, which means asking people to label their current activity or emotion whenever there's a change of activity.
c) Incorrect. This option describes the ""Observation"" method where labeling is done by an observer or through video recording with post-hoc labeling, not by the users themselves in their natural setting.
d) Incorrect. The use of automated algorithms to label sensor data would not involve direct user input and hence does not align with the ""Natural"" method of ground truth labeling, which relies on user-generated labels.",b
82,"In sensor data analysis, why might a researcher use the Kalman filter for outlier detection and imputation?

a) To substitute extreme values with more typical ones using Winsorization.
b) To assume a single distribution for attribute noise reduction.
c) To employ prior knowledge of process and measurement models for data calibration.
d) To automate the detection of outliers based on local density and distance factors.","a) Incorrect. Winsorizing modifies extreme data points to reduce the impact of outliers but does not incorporate prior knowledge about the data, which is the key aspect of the Kalman filter's approach.
b) Incorrect. A single distribution assumption for attribute noise reduction is a characteristic of distribution-based outlier detection methods, not the Kalman filter which utilizes a model-based approach.
c) Correct. The Kalman filter uses models of the system's process and measurement to predict and correct state estimates, which is particularly useful in sensor data calibration and addressing outliers and missing values.
d) Incorrect. Automating outlier detection based on local density and distance factors refers to other methods like the local outlier factor (LOF), which are different from the Kalman filter's model-based prediction and correction approach.",c
83,"Which one is not a method for ground truth labeling of sensor dataset?

a. Eicitation: Asking users to follow predetermined scenarios
b. Natural: in-situ labeling - asking people to label a current activity
c. Auto Inference: Using pretrained ML models to label assign labels
d. Observation: real time following or video recording with post hoc labeling","Auto inference is not considered as labeling. Instead, it is more of prediction and quality of predicted labels is quite questionable.",c
84,"Which outlier detection method assumes the data to be normally distributed?

a. Simple search based method
b. Local outlier factor
c. Chauvenet's criterion
d. Isolation forest","Among the listed outlier detection methods, Chauvenet's criterion assumes the data to be normally distributed:
a. Simple search based method - Does not typically assume a normal distribution; it could be based on various metrics that do not necessitate this assumption.
b. Local outlier factor (LOF) - Does not assume normality; it works based on local density deviation of a given data point with respect to its neighbors.
c. Chauvenet's criterion - Assumes data are normally distributed. This method calculates the standard deviation and mean to identify outliers, assuming the data follows a Gaussian distribution.
d. Isolation forest - Does not assume any distribution as it isolates observations by randomly selecting a feature and then randomly selecting a split value between the maximum and minimum values of the selected feature.",c
85,"Which of the following is NOT an example of Experience Sampling Method (ESM)?

A) Random notification schedule with a maximum of 10 times a day.
B) Hourly interval notification schedule.
C) Notifications triggered by incoming calls and app use.
D) Daily survey sent at a fixed time each day.","ESM typically employs random or interval notification schedules, triggering prompts at various times throughout the day to capture momentary experiences. These prompts can also be event-based, such as when specific actions occur (e.g., incoming calls, app use).

Option D describes a daily survey sent at a fixed time each day, which does not align with the principles of ESM. In ESM, the timing of prompts is variable and often unpredictable, aiming to capture experiences as they naturally occur rather than at pre-scheduled intervals. Therefore, a daily survey sent at a fixed time each day does not fit the criteria of ESM and is not considered an example of this method.",D
86,"Which of the following scenarios is incorrect when handling missing data through imputation methods?

A) Filling missing values with the median of the observed data.
B) Estimating missing values based on the trend between neighboring data points.
C) Predicting missing values using a regression model trained on the available data.
D) Discarding observations with missing values to maintain data integrity.","Imputation methods are techniques used to handle missing data by replacing them with estimated values. Options A, B, and C describe typical scenarios of imputation. Option D is incorrect because it involves removing valuable data points rather than imputing missing values. This approach can lead to biased results and reduced sample sizes, potentially compromising the validity of the analysis. Therefore, discarding observations with missing values is not considered a proper imputation method. ",D
87,"What is the primary purpose of ground truth labelling in sensor data collection? 
a)	To increase the storage capacity of sensors
b)	To calibrate sensor accuracy
c)	To create a reference for data analysis
d)	To reduce the cost of sensor manufacturing
","Ground truth labelling involves assigning known labels to data collected from sensors, providing a reference against which the data can be analyzed and the performance of sensing systems can be evaluated.",C
88,"Considering the use of Winsorizing in data preprocessing, what is the primary goal when applying this technique to a dataset with extreme outliers? 
a)	To increase the range of data by extending extreme values. 
b)	To replace all data points with the mean to simplify analysis.
c)	To limit extreme values to reduce their influence on the analysis.
d)	To evenly distribute all data points across the dataset.
","Winsorizing is a method of limiting extreme values in the dataset to reduce the effect of potentially spurious outliers. By capping extreme values to a certain percentile at both ends of the data range (e.g., the 5th and 95th percentiles), Winsorizing reduces the influence of outliers on the analysis, leading to more robust statistical estimates.",C
89,"What does EDA (Electro-Dermal Activity) measure and why is it significant? (select one)
A) The electrical conductivity of the skin to track device usage patterns.
B) The skin's momentary electrical conductivity changes in response to stimuli, indicating emotional arousal.
C) The ambient temperature around the device to adjust screen brightness.
D) The battery life of wearable devices for efficient energy consumption.
","EDA measures the skin's electrical conductivity, which changes momentarily in response to various stimuli. These changes are primarily due to the activity of the sweat glands, controlled by the sympathetic nervous system, making EDA a valuable indicator of emotional arousal. This makes it a crucial measure in studies related to stress, excitement, or emotional states.",B
